Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Amount,AmountToBePaid
ORD00000000,PROD00000000,USER00000000,8/5/2023,8/26/2024,Clothing,411.59,3,Changed mind,Returned,387,58,Male,City54,Debit Card,Next-Day,45.27,1234.77,1189.5
ORD00000001,PROD00000001,USER00000001,10/9/2023,11/9/2023,Books,288.88,3,Wrong item,Returned,31,68,Female,City85,Credit Card,Express,47.79,866.64,818.85
ORD00000002,PROD00000002,USER00000002,5/6/2023,,Toys,390.03,5,,Not Returned,,22,Female,City30,Debit Card,Next-Day,26.64,1950.15,1923.51
ORD00000003,PROD00000003,USER00000003,8/29/2024,,Toys,401.09,3,,Not Returned,,40,Male,City95,PayPal,Next-Day,15.37,1203.27,1187.9
ORD00000004,PROD00000004,USER00000004,1/16/2023,,Books,110.09,4,,Not Returned,,34,Female,City80,Gift Card,Standard,16.37,440.36,423.99
ORD00000005,PROD00000005,USER00000005,2/14/2024,9/22/2024,Electronics,252.12,1,Defective,Returned,221,46,Female,City47,Debit Card,Next-Day,47.61,252.12,204.51
ORD00000006,PROD00000006,USER00000006,5/29/2023,8/3/2023,Clothing,382.89,2,Wrong item,Returned,66,25,Male,City50,Credit Card,Express,28.49,765.78,737.29
ORD00000007,PROD00000007,USER00000007,2/9/2023,8/1/2024,Electronics,306.39,3,Not as described,Returned,539,67,Female,City39,Credit Card,Express,38.91,919.17,880.26
ORD00000008,PROD00000008,USER00000008,12/25/2024,9/25/2024,Home,302.4,5,Defective,Returned,-91,54,Male,City81,Debit Card,Standard,18.5,1512,1493.5
ORD00000009,PROD00000009,USER00000009,3/10/2023,1/21/2024,Clothing,294.94,3,Not as described,Returned,317,44,Male,City82,Credit Card,Standard,45.21,884.82,839.61
ORD00000010,PROD00000010,USER00000010,5/26/2024,,Toys,119,2,,Not Returned,,70,Female,City41,Credit Card,Next-Day,8.72,238,229.28
ORD00000011,PROD00000011,USER00000011,2/8/2024,,Home,480.48,4,,Not Returned,,54,Male,City22,Gift Card,Next-Day,0.27,1921.92,1921.65
ORD00000012,PROD00000012,USER00000012,6/7/2024,,Toys,216.41,3,,Not Returned,,66,Male,City17,PayPal,Standard,30.26,649.23,618.97
ORD00000013,PROD00000013,USER00000013,7/22/2023,,Electronics,198.78,2,,Not Returned,,51,Male,City85,PayPal,Next-Day,36.58,397.56,360.98
ORD00000014,PROD00000014,USER00000014,9/1/2024,,Electronics,146.37,4,,Not Returned,,45,Male,City9,PayPal,Next-Day,28.23,585.48,557.25
